datetime,lat,lon,depth,magnitude,min_magnitude,max_magnitude,mean_magnitude,median_magnitude,variance_magnitude,kurtosis_magnitude,min_depth,max_depth,mean_depth,median_depth,variance_depth,kurtosis_depth,min_lat,max_lat,mean_lat,median_lat,variance_lat,kurtosis_lat,min_lon,max_lon,mean_lon,median_lon,variance_lon,kurtosis_lon,min_datetime,max_datetime,mean_datetime,median_datetime,variance_datetime,kurtosis_datetime,location_labels
1983-06-15 13:45:08.900,39.46,28.24,12.0,4.2,4.0,4.9,4.286666666666665,4.2,0.07182222222222225,-0.8091026615037595,0.0,31.0,9.066666666666666,10.0,53.595555555555556,0.9469299646310798,38.02,39.54,38.96566666666667,39.04,0.17108455555555496,-0.1687113405215679,26.07,29.29,27.79733333333333,27.935000000000002,0.9684528888888889,-0.9093960036107167,326280132.7,423326672.4,379041200.60666674,387082930.15,887092878744637.5,-1.3352448025587478,6
1983-09-23 08:32:54.000,38.83,27.07,10.0,4.0,4.0,4.9,4.276666666666666,4.2,0.07045555555555556,-0.6316207847831108,0.0,31.0,8.733333333333333,10.0,48.19555555555555,1.6598014857022658,38.02,39.54,38.97366666666667,39.04,0.17700988888888836,-0.23693046996129352,26.07,29.29,27.773,27.935000000000002,0.9285543333333334,-0.8358192771544104,332166267.4,424532708.9,382316286.4800001,387833746.25,852558259271947.4,-1.3140643959933467,6
1983-10-11 12:08:18.700,38.85,29.21,10.0,4.2,4.0,4.9,4.266666666666667,4.15,0.0728888888888889,-0.6411919988102319,0.0,31.0,9.066666666666666,10.0,45.595555555555556,1.8976912433324387,38.02,39.54,38.974666666666664,39.04,0.17669155555555502,-0.21977317875006186,26.07,29.29,27.702999999999996,27.869999999999997,0.8750743333333333,-0.8338748491213299,334536849.8,433153974.0,385682543.3666667,387954578.45,843541442466809.8,-1.2184363556839375,6
1983-10-11 20:08:18.500,38.97,29.25,0.0,4.1,4.0,4.9,4.27,4.2,0.07210000000000001,-0.6335514128358439,0.0,31.0,9.4,10.0,42.77333333333333,2.2114840315047797,38.02,39.54,38.957333333333324,38.985,0.17169955555555505,-0.2197121857091302,26.07,29.29,27.739333333333335,27.869999999999997,0.9436595555555556,-0.9186503447257164,341489334.7,434722098.7,389022051.66333336,388030470.6,825355660699160.8,-1.1457537723890197,6
1983-11-06 05:17:04.000,39.33,29.32,14.0,4.6,4.0,4.9,4.2733333333333325,4.2,0.07062222222222224,-0.6039301823700507,0.0,31.0,9.066666666666666,10.0,45.595555555555556,1.8976912433324404,38.02,39.54,38.94766666666667,38.965,0.16855788888888842,-0.19585651661198789,26.08,29.29,27.845333333333333,27.935000000000002,0.9156048888888889,-0.8444878176789259,344188191.3,434750898.5,392130770.4566667,388107157.8,810083803199635.6,-1.046438346094324,6
1984-03-01 06:39:33.000,39.25,27.98,4.0,4.0,4.0,4.9,4.29,4.2,0.0729,-0.8650932088416217,0.0,31.0,9.533333333333333,10.0,43.44888888888889,1.9767285350609818,38.02,39.54,38.95099999999999,38.965,0.17076233333333288,-0.22803892908433543,26.08,29.32,27.899,27.975,0.9846023333333334,-0.9269272651107725,345104952.1,436943824.0,395222624.88,396620134.65,790848201814030.1,-0.93223085644322,6
1984-03-29 00:06:01.400,39.64,27.87,12.0,4.6,4.0,4.9,4.29,4.2,0.0729,-0.8650932088416208,0.0,31.0,9.666666666666666,10.0,41.422222222222224,2.241367381053255,38.02,39.54,38.96233333333334,38.989999999999995,0.17355788888888843,-0.22905214764049475,26.08,29.32,27.90933333333334,27.985,0.9829662222222223,-0.9071074767922571,345834805.3,446971173.0,398618165.5766667,407418804.5,784856208779470.8,-0.784045302740866,6
1984-03-31 13:56:43.400,39.62,28.76,4.0,4.1,4.0,4.9,4.29,4.2,0.0729,-0.8650932088416217,0.0,31.0,9.733333333333333,10.0,41.59555555555555,2.154576616257576,38.02,39.64,38.99033333333333,39.04,0.18720322222222174,-0.2501716496745847,26.08,29.32,27.950000000000003,27.985,0.9285,-0.6932352625774612,346060161.5,449366761.4,402069230.78,409787784.3,765924252939934.4,-0.6923346856474946,6
1984-04-01 17:17:41.000,39.56,28.76,7.0,4.4,4.0,4.9,4.27,4.2,0.0681,-0.5400755992849717,0.0,31.0,9.366666666666667,10.0,41.63222222222222,2.3982460810125286,38.06,39.64,39.043666666666674,39.08,0.1661898888888885,-0.11972232205724564,26.08,29.32,27.987000000000005,28.07,0.946001,-0.6959165714225044,349251320.0,449589403.4,405520205.51,409818825.95000005,724720058493594.4,-0.7172014472765125,6
1984-05-30 15:00:29.300,38.85,26.71,14.0,4.1,4.0,4.9,4.279999999999999,4.2,0.0676,-0.6237876825041062,0.0,31.0,9.533333333333333,10.0,39.98222222222223,2.659868172228518,38.06,39.64,39.059333333333335,39.120000000000005,0.17475955555555522,-0.21925270147776033,26.08,29.32,28.01266666666667,28.165,0.9652595555555556,-0.7219068709058121,355864879.7,449687861.0,408868090.21,409843045.15,672998203693961.6,-0.8520974008336997,6
1984-07-15 17:47:02.500,39.22,27.72,10.0,4.1,4.0,4.9,4.283333333333333,4.2,0.06605555555555556,-0.5884173751397892,0.0,31.0,9.666666666666666,10.0,40.62222222222223,2.3932835445704796,38.11,39.64,39.08566666666666,39.120000000000005,0.1422378888888887,-0.313404325518746,26.08,29.32,28.032333333333337,28.165,0.9020312222222223,-0.76177481055801,360356836.0,454777229.3,412165168.5299999,409859025.4,638737769166334.0,-0.9949919665824898,6
1984-08-22 23:29:21.000,38.86,26.12,10.0,4.2,4.0,4.9,4.269999999999999,4.2,0.06543333333333334,-0.3899221694055086,0.0,31.0,9.766666666666667,10.0,40.378888888888895,2.3866211215532314,38.11,39.64,39.07933333333333,39.120000000000005,0.13929288888888877,-0.25637447068150854,26.08,29.32,28.024333333333335,28.165,0.9050445555555557,-0.7919924150647293,378399145.5,458761622.5,415445328.0799999,411995315.25,610882529260853.5,-1.2001151454005494,6
1984-08-25 21:09:20.100,39.04,26.14,12.0,4.0,4.0,4.9,4.263333333333333,4.2,0.06498888888888889,-0.26283821884204706,0.0,31.0,9.566666666666666,10.0,39.04555555555555,2.878010475818291,38.11,39.64,39.06366666666666,39.04,0.13855655555555546,-0.31618611239351724,26.08,29.32,27.924333333333333,28.064999999999998,0.9759112222222222,-0.9089570104652704,378399215.3,462065361.0,418234201.92999995,414495457.7,629804972766679.4,-1.187032092670004,6
1984-11-07 11:39:43.700,38.91,27.8,10.0,4.3,4.0,4.9,4.253333333333333,4.15,0.06715555555555555,-0.2606852637245196,0.0,31.0,9.633333333333333,10.0,39.23222222222223,2.7719330892539924,38.11,39.64,39.05199999999999,39.025,0.13488933333333325,-0.24535003952550438,26.08,29.32,27.827,27.945,1.0295743333333334,-1.0234166999378167,382015209.4,462316160.1,421031433.4233333,416677847.45,633860231282362.0,-1.2138344043523368,6
1985-01-25 02:42:18.000,38.53,27.36,7.0,4.1,4.0,4.9,4.263333333333333,4.2,0.06498888888888889,-0.2628382188420475,0.0,31.0,9.533333333333333,10.0,38.848888888888894,2.961801899012446,38.11,39.64,39.038,38.989999999999995,0.13278933333333331,-0.22398827411840738,26.08,29.32,27.78533333333333,27.89,0.9780048888888889,-0.9411662834289407,386385357.8,468675583.7,423920112.56666666,420907578.79999995,650439074707455.0,-1.1885722750731615,6
1985-02-07 13:18:45.000,39.02,29.88,36.0,4.6,4.0,4.9,4.263333333333333,4.2,0.06498888888888889,-0.2628382188420475,0.0,31.0,9.433333333333334,10.0,39.04555555555555,2.983169002095015,38.11,39.64,39.035999999999994,38.989999999999995,0.13469733333333336,-0.260692614273883,26.08,29.32,27.758,27.85,0.9780960000000001,-0.9654480267623491,387780502.5,475468938.0,426889565.23999995,423929690.65,683235545133704.1,-1.107901860087242,6
1985-03-14 11:35:38.500,38.51,27.69,15.0,4.7,4.0,4.9,4.279999999999999,4.2,0.0676,-0.6027800147053601,0.0,36.0,10.633333333333333,10.0,58.16555555555556,3.307023655550985,38.11,39.64,39.018666666666675,38.989999999999995,0.12593822222222228,-0.07359479211324249,26.1,29.88,27.884666666666664,27.89,1.0182915555555552,-0.7794186847719562,387886990.0,476630325.0,429851225.99,428843341.45,705951590505639.6,-1.0768610682225892,6
1985-03-29 09:24:08.400,38.8,26.57,26.0,4.8,4.0,4.9,4.296666666666666,4.2,0.0729888888888889,-0.9259799617447761,0.0,36.0,11.133333333333333,10.0,54.782222222222224,3.468521270901923,38.11,39.64,38.989,38.965,0.12883566666666685,-0.20887037908550132,26.12,29.88,27.93766666666667,27.89,0.9105778888888887,-0.6389817250981586,388022166.9,479648138.5,432909930.94,433938036.35,720553760977957.9,-1.062130826236163,6
1985-04-29 11:38:39.000,38.35,29.76,3.0,4.6,4.0,4.9,4.323333333333333,4.2,0.0777888888888889,-1.1150753842764227,0.0,36.0,11.666666666666666,10.0,61.82222222222222,2.0728429810412123,38.11,39.64,38.986,38.965,0.12969066666666687,-0.24852929731172324,26.12,29.88,27.884999999999998,27.85,0.9686516666666665,-0.8004252729188615,388038774.3,480936248.4,436007066.99,434736498.6,720682036207680.9,-1.0875760702043957,6
1985-05-14 04:52:18.500,39.71,26.09,26.0,4.0,4.0,4.9,4.329999999999999,4.2,0.08009999999999999,-1.2380061751774023,0.0,36.0,11.433333333333334,10.0,64.17888888888889,1.91724565324063,38.11,39.64,38.974999999999994,38.965,0.13993166666666682,-0.40029008832778645,26.12,29.88,27.980000000000004,27.89,1.0451266666666665,-0.805606808969813,388175541.3,483622719.0,439193198.47999996,435847361.25,709407042760908.4,-1.161503870651747,6
1985-09-23 22:19:57.400,38.86,27.01,5.0,4.0,4.0,4.9,4.3199999999999985,4.2,0.0836,-1.2668208145417807,0.0,36.0,11.966666666666667,10.0,70.89888888888888,0.990495683151531,38.11,39.71,39.00666666666666,38.989999999999995,0.1553955555555557,-0.4725964478069331,26.09,29.88,27.952000000000005,27.89,1.1266626666666666,-0.8226827897459321,405064728.0,484894338.5,442417158.38666666,441957498.5,681872887114168.9,-1.344481656244712,6
